,Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Report.Status,Event.Year
65134,Accident,2008-08-10,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,2.0,0.0,0.0,A loss of engine power due to fuel exhaustion that was caused by the pilot's inadequate fuel consumption calculations and failure to refuel the airplane en route.,2008
65135,Accident,2008-08-10,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The loss of engine power as a result of oil starvation to the number one rod bearing and number one connecting rod.  Contributing to the accident was the rough terrain.,2008
65136,Accident,2008-08-10,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Application,0.0,0.0,0.0,1.0,"The failure of the starter generator which resulted in the subsequent loss of engine power.  Contributing to the accident were the low altitude at which the airplane was operating, the tall grass, and the ditch.",2008
65137,Accident,2008-08-10,Non-Fatal,Substantial,Airplane,Cessna,Aerial Application,0.0,0.0,0.0,1.0,The pilot's misjudged distance/altitude during takeoff.,2008
65138,Accident,2008-08-10,Non-Fatal,Substantial,Glider,I.C.A.-Brasov,Personal,0.0,1.0,1.0,0.0,"The pilot's geographic disorientation, which resulted in an off-airport landing. Contributing to the accident was the pilot's selection of an inadequate landing site.",2008
65139,Accident,2008-08-10,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,The pilot's improper flare while landing. Contributing to the accident was the gusty wind condition.,2008
65140,Accident,2008-08-11,Fatal,Destroyed,Airplane,Dickey,Personal,1.0,0.0,0.0,0.0,"The pilot's improper decision to continue flight under visual flight rules into an area of reduced visibility weather conditions, which resulted in the pilot's spatial disorientation and subsequent loss of aircraft control.  Contributing to the accident was the pilot's lack of recent experience flying in instrument conditions.",2008
65141,Accident,2008-08-11,Fatal,Substantial,Airplane,BEECH,Personal,2.0,0.0,0.0,0.0,A loss of engine power in flight due to fuel exhaustion resulting from the pilot's inadequate fuel planning and navigation.,2008
65142,Accident,2008-08-11,Non-Fatal,Substantial,Airplane,Mooney,Personal,0.0,1.0,0.0,0.0,The pilot's inadequate compensation for a crosswind during landing. A factor contributing to the accident was the crosswind.,2008
65143,Accident,2008-08-11,Non-Fatal,Substantial,Airplane,Piper,Aerial Application,0.0,1.0,0.0,0.0,The pilot's failure to maintain clearance from the guide wire while maneuvering on an aerial application flight.  Contributing to the accident was the presence of the guide wire.,2008
65144,Accident,2008-08-11,Non-Fatal,Substantial,Airplane,Steven A. Jones,Personal,0.0,0.0,0.0,2.0,"The pilot's decision to install voltage regulators in the engine compartment where they were susceptible to water intrusion, which resulted in a malfunction of the standby electrical system's voltage regulator and a subsequent in-flight fire.",2008
65146,Accident,2008-08-12,Fatal,Destroyed,Airplane,BEECH,Personal,3.0,0.0,0.0,0.0,The pilot's failure to maintain control of the airplane while attempting to execute an instrument approach in instrument meteorological conditions. Contributing to the accident was the pilot's lack of instrument currency.,2008
65147,Accident,2008-08-12,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,1.0,0.0,3.0,"A catastrophic engine failure due to the partial blockage of the lubricating oil galley in one of the crankshaft connecting rod journals, leading to the failure of the connecting rod cap.",2008
65148,Accident,2008-08-12,Non-Fatal,Substantial,Airplane,Anglin,Personal,0.0,1.0,0.0,0.0,The complete loss of engine power for undetermined reasons. Contributing to the accident were hidden obstructions (tree stumps) in the field of long grass within which the pilot executed his forced landing.,2008
65149,Accident,2008-08-12,Fatal,Substantial,Airplane,Bowman,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain clearance from a vehicle during a low-altitude flight over a highway.,2008
65150,Accident,2008-08-12,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Application,0.0,0.0,0.0,1.0,A failure of the turbocharger blower which resulted in the partial loss of power.  Factors associated with the accident were the low altitude of the airplane and the embankment.,2008
65151,Accident,2008-08-13,Fatal,Substantial,Airplane,ERCOUPE,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain a proper climb rate after takeoff.,2008
65152,Accident,2008-08-13,Non-Fatal,Substantial,Airplane,Aerotek,Personal,0.0,0.0,0.0,1.0,the pilot's failure to maintain directional control during takeoff.  Contributing to the accident were wind gusts and rough terrain.,2008
65153,Accident,2008-08-13,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Application,0.0,1.0,0.0,0.0,Poor preflight planning in that the pilot failed to assure an adequate fuel supply was on board for the flight which resulted in fuel exhaustion.  Factors associated with the accident were the low altitude of the airplane when the loss of power occurred and the trees.,2008
65154,Accident,2008-08-13,Non-Fatal,Substantial,Airplane,AIR TRACTOR,Aerial Application,0.0,0.0,0.0,1.0,The pilot's failure to maintain clearance from the power lines during low-altitude maneuvers.,2008
65155,Accident,2008-08-13,Non-Fatal,Destroyed,Airplane,Piper,Personal,0.0,0.0,0.0,1.0,Landing gear collapse for reasons undetermined.,2008
65156,Accident,2008-08-13,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The pilot's failure to lower the landing gear prior to touchdown.,2008
65157,Accident,2008-08-14,Non-Fatal,Substantial,Airplane,Aircraft Mfg & Dev. Co. (AMD),Instructional,0.0,1.0,1.0,0.0,The inadvertent tail stall and subsequent loss of airplane control as a result of the open canopy. Contributing to the accident was the inadequate emergency procedures provided by the airplane manufacturer and the inadequate design of the canopy latching mechanism.,2008
65158,Accident,2008-08-14,Fatal,Substantial,Airplane,Kolb,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain an adequate airspeed above stall speed while executing a steeply banked turn in the traffic pattern.,2008
65159,Accident,2008-08-14,Fatal,Destroyed,Airplane,BEECH,Business,1.0,0.0,0.0,0.0,The pilot's failure to maintain sufficient airspeed during the base to final turn resulting in an aerodynamic stall.,2008
65160,Accident,2008-08-14,Fatal,Destroyed,Airplane,CESSNA,Personal,1.0,0.0,0.0,0.0,The pilots failure to maintain clearance from mountainous terrain while maneuvering at low altitude for undetermined reasons.,2008
65161,Accident,2008-08-14,Non-Fatal,Substantial,Airplane,Walker,Personal,0.0,1.0,0.0,0.0,The pilot's failure to maintain control of the airplane during the landing roll. A factor contributing to the accident was a tailwind.,2008
65164,Accident,2008-08-14,Non-Fatal,Substantial,Airplane,Cessna,Instructional,0.0,0.0,0.0,1.0,The student pilot's inadequate recovery from a bounced landing.  Contributing to the accident were the improper flare and excessive airspeed.,2008
65166,Accident,2008-08-14,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain clearance from a tarp used as a marker at the departure end of the takeoff area.,2008
65167,Accident,2008-08-15,Fatal,Destroyed,Airplane,CESSNA,Personal,4.0,0.0,0.0,0.0,The pilot's failure to maintain aircraft control after inadvertantly encountering instrument meteorological conditions.  Contributing to the accident were the pilot's failure to obtain a weather brief and the severe weather conditions.,2008
65168,Accident,2008-08-15,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,1.0,0.0,2.0,"The pilot's improper decision to land with a tailwind, and his failure to maintain aircraft control during the landing. Contributing to the accident was the tailwind.
",2008
65169,Accident,2008-08-15,Non-Fatal,Substantial,Weight-Shift,Aerotrike,Instructional,0.0,0.0,1.0,1.0,The flight instructor's failure to maintain control of the sport aircraft on takeoff.,2008
65172,Accident,2008-08-15,Non-Fatal,Substantial,Airplane,PIPER,Instructional,0.0,1.0,0.0,2.0,A total loss of engine power for undetermined reasons.  Contributing to the accident was unsuitable terrain for a forced landing.,2008
65173,Accident,2008-08-16,Fatal,Substantial,Airplane,CESSNA,Personal,1.0,0.0,2.0,0.0,"The failure of both pilots to abort the takeoff when a suitable climb rate could not be attained. Contributing to the accident was the reduction of available power due to the camshaft lobe and lifter corrosion/wear, the high density altitude, and the CFIs inadequate supervision.",2008
65175,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,SOCATA,Personal,0.0,2.0,0.0,0.0,A loss of engine power due to fatigue failure of the crankshaft and the No. 3 engine cylinder connecting rod as a result of improper machining  of the engine crankshaft during engine overhaul by maintenance personnel.,2008
65176,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Rouse,Personal,0.0,0.0,0.0,1.0,"The excessively worn throttle/mixture linkage arms and pins and a missing mixture control linkage spring washer, which resulted in a loss of power due to an excessively rich mixture.",2008
65177,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,1.0,0.0,0.0,The pilot's failure to maintain directional control during the takeoff roll.  Contributing to the accident was the pilot's inadvertent use of the toe brake.,2008
65178,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during the landing roll.,2008
65179,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,2.0,The pilot's inadequate preflight/planning which resulted in the failure to assure an adequate fuel supply for the flight and the improper flare during the landing.  Contributing to the  accident was the ditch that the airplane contacted.,2008
65180,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Costruzioni Aeronautiche,Instructional,0.0,0.0,0.0,1.0,The student pilot's failure to maintain airspeed during a go-around. Contributing to the accident was the student pilot's degraded emotional/mental state due to stress.,2008
65181,Accident,2008-08-16,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Application,0.0,0.0,0.0,1.0,The failure of the compressor turbine blades which resulted in the loss of power.  Factors associated with the accident were the low altitude and the trees.,2008
65185,Accident,2008-08-17,Fatal,Substantial,Airplane,AYRES,Aerial Application,1.0,0.0,0.0,0.0,The pilots failure to maintain clearance from trees during low altitude maneuvering.,2008
65186,Accident,2008-08-17,Fatal,Substantial,Airplane,Roberto P. Garcia,Air Race show,1.0,0.0,0.0,0.0,"The pilot's failure to maintain control of the airplane while maneuvering, resulting in an aerodynamic stall and spin.",2008
65187,Accident,2008-08-17,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,The loss of engine power due to vapor lock. Contributing to the accident was the high atmospheric temperature.,2008
65188,Accident,2008-08-17,Non-Fatal,Substantial,Airplane,Eberle,Personal,0.0,0.0,0.0,1.0,The pilot failed to maintain directional control during landing. Contributing to the accident was the pilot's limited experience in the airplane.,2008
65189,Accident,2008-08-17,Fatal,Substantial,Balloon,Balloon Works,Personal,1.0,0.0,0.0,0.0,An on-board fire following a propane leak.  Contributing to the accident was the lack of training/experience of the non-certificated pilot.,2008
65190,Accident,2008-08-17,Non-Fatal,Substantial,Weight-Shift,Aeros LTD,Personal,0.0,0.0,0.0,2.0,"The pilot's selection of unsuitable terrain for a precautionary landing and subsequent takeoff attempt, and his misjudging of the required takeoff distance. The soft terrain was a factor.",2008
65193,Accident,2008-08-18,Non-Fatal,Substantial,Airplane,Grumman Acft Eng,Aerial Application,0.0,1.0,0.0,0.0,"The pilot's inadequate compensation for the tailwind and failure to attain and maintain airspeed, which resulted in an inadvertent stall. The tailwind was a contributing factor.",2008
65194,Accident,2008-08-18,Non-Fatal,Substantial,Airplane,Wheat,Personal,0.0,0.0,0.0,2.0,The right rudder pedal attach rivets sheared due to overload.,2008
65195,Accident,2008-08-19,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,2.0,Failure of the brakes to function due to inadequate inspection of the brake cable by maintenance personnel.,2008
65197,Accident,2008-08-19,Non-Fatal,Substantial,Airplane,Piper,Public Aircraft,0.0,0.0,0.0,2.0,The pilot's failure to maintain directional control during an aborted takeoff.,2008
65198,Accident,2008-08-19,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,4.0,The pilot's inadequate compensation for the wind and density altitude conditions and failure to attain and maintain an adequate airspeed that resulted in a stall/mush.,2008
65200,Accident,2008-08-20,Fatal,Substantial,Airplane,PIPER,Personal,2.0,0.0,0.0,0.0,The pilot's failure to attain and maintain an adequate airspeed during takeoff in high density altitude conditions that resulted in an aerodynamic stall.,2008
65202,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,CESSNA,Business,0.0,0.0,0.0,4.0,The pilot's delayed decision to abort the takeoff. Contributing to the accident was the pilot's attempted takeoff with a propeller start lock inadvertently engaged.,2008
65203,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,2.0,0.0,"A loss of engine power in flight due to fuel exhaustion as a result of the pilot's failure to secure the right wing's fuel cap, leading to fuel being siphoned from the tank during flight.",2008
65204,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,Cessna,Aerial Application,0.0,0.0,0.0,1.0,The pilot took off on an unsuitable airstrip which resulted in the airplane becoming prematurely airborne with inadequate airspeed after it contacted a rise in the terrain.,2008
65205,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,Hawker,Flight Test,0.0,0.0,0.0,1.0,A ruptured center balance diaphragm that resulted in a loss of engine power during final approach and subsequent forced landing on a desert floor.,2008
65206,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,4.0,0.0,0.0,The pilot's failure to ensure that the landing gear was retracted prior to the water landing.,2008
65208,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2008
65209,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,Ferree,Personal,0.0,0.0,0.0,1.0,The pilot's improper flare which resulted in a hard landing.,2008
65210,Accident,2008-08-20,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,The pilot's failure to ensure that the landing gear was placed in the down position prior to landing.,2008
65211,Accident,2008-08-21,Fatal,Destroyed,Airplane,SOCATA,Personal,1.0,0.0,0.0,0.0,The pilot's incapacitation due to severe unrecognized coronary artery disease that resulted in a loss of aircraft control.,2008
65212,Accident,2008-08-21,Non-Fatal,Substantial,Airplane,NTBK,Personal,0.0,1.0,0.0,0.0,The pilot misjudged his approach path which resulted in insufficient altitude and the subsequent failure to maintain clearance with the trees.  Contributing to the accident were the trees and the dusk lighting conditions.,2008
65213,Accident,2008-08-21,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,2.0,The pilot's inadequate compensation for the existing gusty wind conditions and likely windshear encounter and his failure to maintain an adequate airspeed that resulted in a stall/mush.,2008
65214,Accident,2008-08-21,Non-Fatal,Substantial,Airplane,MURRAY FRANK H,Personal,0.0,0.0,0.0,1.0,Failure of the intake manifold when the flexible connectors disconnected from the carburetor after a turbulence encounter.  Contributing to the accident was insuitable terrain for a forced landing.,2008
65216,Accident,2008-08-21,Non-Fatal,Substantial,Airplane,Haines,Personal,0.0,0.0,1.0,0.0,The pilot's failure to ensure that the landing gear was retracted for the water landing.,2008
65217,Accident,2008-08-22,Fatal,Substantial,Airplane,BEECH,Executive/corporate,10.0,0.0,0.0,0.0,The pilots failure to maintain terrain clearance during takeoff for undetermined reasons.,2008
65218,Accident,2008-08-22,Fatal,Destroyed,Airplane,Killgore,Personal,1.0,0.0,0.0,0.0,A partial loss of engine power during initial climb due to the detachment of the engine supercharger drive belt.  The detachment resulted from the owner/builder's inadequate installation of the supercharger system and belt-tensioning adjustment.,2008
65220,Accident,2008-08-22,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Application,0.0,0.0,0.0,1.0,The loss of engine power for undetermined reasons.,2008
65222,Accident,2008-08-22,Non-Fatal,Substantial,Airplane,AIR TRACTOR,Aerial Application,0.0,1.0,0.0,0.0,The pilot's inadequate visual lookout resulting in the in-flight collision with a 40-foot-tall antenna.,2008
65223,Accident,2008-08-22,Non-Fatal,Substantial,Airplane,SACREY W MICHAEL,Personal,0.0,0.0,0.0,1.0,The pilot's inadvertent premature rotation during takeoff.,2008
65226,Accident,2008-08-23,Non-Fatal,Substantial,Airplane,Schweizer,Aerial Application,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control of the airplane during the crosswind landing.  Factors associated with the accident were the crosswind and the rough terrain.,2008
65227,Accident,2008-08-23,Non-Fatal,Substantial,Airplane,Christen Industries,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control while landing.,2008
65229,Accident,2008-08-23,Non-Fatal,Substantial,Glider,SCHWEIZER,Instructional,0.0,0.0,0.0,2.0,The failure of the dual student to relinquish flight control of the glider.,2008
65230,Accident,2008-08-23,Non-Fatal,Substantial,Airplane,CESSNA,Instructional,0.0,2.0,0.0,0.0,Both pilots' inadequate preflight inspection of the fuel.,2008
65231,Accident,2008-08-23,Non-Fatal,Substantial,Airplane,LAKE,Personal,0.0,0.0,0.0,1.0,"The amphibious airplane's collision with submerged debris during taxi for takeoff, and the resulting damage to the hull.",2008
65232,Accident,2008-08-24,Fatal,Substantial,Airplane,PIPER,Personal,3.0,0.0,0.0,0.0,The pilot's failure to maintain control of the airplane after an encounter with instrument meteorological conditions.,2008
65233,Accident,2008-08-24,Non-Fatal,Substantial,Airplane,Bellanca,Personal,0.0,0.0,0.0,2.0,The pilot's inadequate preflight inspection of the airplane which resulted in an attempted takeoff without fuel present in the selected fuel tank.,2008
65234,Accident,2008-08-24,Non-Fatal,Substantial,Airplane,Europro CZ,Personal,0.0,2.0,0.0,0.0,The pilot's failure to maintain directional control during takeoff.,2008
65236,Accident,2008-08-24,Non-Fatal,Substantial,Airplane,Piper,Personal,0.0,0.0,0.0,2.0,The failure of airport personnel to correct a hazardous condition on the airport.  A factor was the uncovered manhole.,2008
65238,Accident,2008-08-24,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,A complete loss of engine power for undetermined reasons.  A contributing factor was the rough terrain encountered during the forced landing.,2008
65240,Accident,2008-08-25,Non-Fatal,Substantial,Airplane,Air Tractor,Aerial Observation,0.0,0.0,0.0,1.0,"The pilot's failure to assure the primer control was locked during the aircraft preflight.  Factors associated with the accident were the low altitude at which the airplane was operating, the fence, the roadway, and the ditch.",2008
65241,Accident,2008-08-25,Non-Fatal,Substantial,Airplane,ANDERSON R E/ABROMAVICH L J,Personal,0.0,0.0,0.0,1.0,"The pilot's improper flare, which resulted in a hard landing.",2008
65243,Accident,2008-08-26,Non-Fatal,Substantial,Airplane,SCHWEIZER AIRCRAFT CORP,Aerial Application,0.0,0.0,0.0,1.0,"The mechanics failure to torque check the axle-to-spring gear attachment bolts per the manufacturer's Annual/100-Hour Airframe Inspection Checklist, resulting in fatigue failure of the bolts.",2008
65244,Accident,2008-08-26,Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,Instructional,0.0,0.0,0.0,1.0,The deer that ran onto the runway contacting the airplane.  A factor associated with the accident was the dark night conditions.,2008
65246,Accident,2008-08-26,Non-Fatal,Substantial,Airplane,CESSNA,Business,0.0,0.0,2.0,0.0,"On August 26, 2008, about 1100 local time, a Cessna 172, Ecuadorian registration HC-BKY, registered to an operated by Wings of Hope Incorporated, as a medical transport flight, crashed following a loss of engine power, while in cruise flight to Rio Amazonas Airport, Pastaza, Ecuador. Visual meteorological conditions prevailed, and no flight plan was filed. The airplane was substantial damage. The private-rated pilot and passenger received serious injuries. 

According to information obtained from the Ecuadorian Subdireccion de Aviacion Civil, the pilot reported total loss of engine power, while in cruise flight. He conducted an emergency landing, and crashed into trees.

This investigation is under the jurisdiction of the Government of Ecuador. Any further information can be obtained from:

Direccion General de Aviacion Civil
Buenos Aires 149 Y 10 de Agusto
P.O. Box 2077
Quito, Republica del Ecuador

Phone: 593-2-223-8981
Fax; 593-2- 223-8352

This information is for informational purposes only, and contains information released by, or obtained for the Government of Ecuador.  
",2008
65248,Accident,2008-08-27,Non-Fatal,Substantial,Airplane,AIR TRACTOR,Aerial Application,0.0,1.0,0.0,0.0,"The pilot's improper decision to continue an aerial application following an uncommanded opening of the cabin door in flight, and his subsequent failure to maintain control of the airplane.",2008
65249,Accident,2008-08-27,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,2.0,0.0,The pilot's failure to clear the trees during takeoff due to a partial loss of engine power for undetermined reasons.,2008
65250,Accident,2008-08-27,Non-Fatal,Substantial,Airplane,CESSNA,Skydiving,0.0,0.0,0.0,1.0,Fuel exhaustion due to the pilots inadequate fuel consumption calculations.,2008
65252,Accident,2008-08-28,Fatal,Substantial,Airplane,PIPER,Other Work Use,1.0,0.0,0.0,0.0,"A loss of power in the right engine due to an in-flight fuel-fed fire in the right engine compartment that, while the exact origin could not be determined, was likely related to the right engine-driven fuel pump, its fuel supply line, or fitting. Contributing to the accident was the pilot's failure to adhere to the POH's procedures for responding to the fire and configuring the airplane to reduce aerodynamic drag.",2008
65254,Accident,2008-08-28,Non-Fatal,Substantial,Airplane,Mason,Personal,0.0,0.0,0.0,2.0,"The pilot's failure to maintain a stabilized approach, inadequate recovery from a bounced landing, and failure to maintain directional control.",2008
65255,Accident,2008-08-28,Non-Fatal,Substantial,Airplane,BEECH,Instructional,0.0,0.0,0.0,2.0,The inadequate flare by the student pilot and the inadequate supervision and delayed go-around performed by the flight instructor. Contributing to the accident were the student pilot's failure to attain/maintain a stabilized approach.,2008
65256,Accident,2008-08-28,Non-Fatal,Substantial,Airplane,Helie,Personal,0.0,0.0,0.0,1.0,The pilot failed to maintain directional control during landing. Contributing to the accident was the crosswind.,2008
65257,Accident,2008-08-28,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,1.0,0.0,"The pilot's failure to maintain proper glide angle during the landing approach which resulted in a collision with a pole.  Contributing to the accident were the pilot's lack of qualification, experience and the high density altitude.",2008
65259,Accident,2008-08-29,Non-Fatal,Substantial,Airplane,Gulfstream-Schweizer,Aerial Application,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control on the landing roll out.,2008
65261,Accident,2008-08-29,Fatal,Substantial,Airplane,Lien,Personal,1.0,0.0,0.0,0.0,The pilot's failure to maintain aircraft control after the engine experienced a loss of power.  Contributing to the accident was the mixture control arm separating from the fuel metering valve shaft.,2008
65262,Accident,2008-08-29,Non-Fatal,Substantial,Airplane,Ercoupe (Eng & Research Corp.),Personal,0.0,0.0,0.0,2.0,A bird strike which substantially damaged the propeller and required the engine to be secured. Contributing to the accident was the damaged propeller.,2008
65264,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,2.0,1.0,0.0,"The pilot's improper preflight and in-flight planning, which resulted in fuel exhaustion.  Contributing to the accident were the pilot's loss of situational awareness while conducting the normal and emergency checklists during his turn from base to final approach, and the dark night condition.",2008
65265,Accident,2008-08-30,Fatal,Substantial,Airplane,MOONEY,Personal,1.0,0.0,1.0,0.0,A loss of engine power due to fuel exhaustion.,2008
65266,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,CESSNA,Skydiving,0.0,0.0,0.0,1.0,A loss of engine power due to fuel exhaustion. Contributing to the accident was pressure from the company for the pilot to fly the second load of skydivers without refueling.,2008
65267,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,Cirrus Design Corp.,Personal,0.0,0.0,0.0,4.0,The pilot's failure to maintain aircraft control during an uncommanded pitch-up during the takeoff.,2008
65268,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,0.0,0.0,1.0,The loss of engine power during descent due to carburetor icing.  Contributing to the accident was the collapse of the nose landing gear due to rough terrain.,2008
65269,Accident,2008-08-30,Fatal,Destroyed,Airplane,BOEING,Ferry,3.0,0.0,0.0,0.0,.,2008
65270,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain aircraft control while landing.,2008
65271,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,Quicksilver,Instructional,0.0,0.0,1.0,0.0,The student pilot's failure to maintain control of the airplane during an aborted landing. Contributing to the accident were the high winds.,2008
65272,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,de Havilland,Personal,0.0,0.0,0.0,1.0,"The pilot's selection of an unsuitable takeoff site, resulting in an on ground collision with tall brush.",2008
65273,Accident,2008-08-30,Non-Fatal,Substantial,Airplane,DEHAVILLAND,Personal,0.0,0.0,0.0,1.0,The failure of the wooden propeller.,2008
65274,Accident,2008-08-31,Fatal,Substantial,Airplane,PIPER,Banner Tow,1.0,0.0,0.0,0.0,The pilot's failure to fly the correct approach profile that resulted in the inadvertent pickup of a banner tow line with the airplane's main landing gear.,2008
65275,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,Wasson Loehle,Personal,0.0,0.0,1.0,0.0,The loss of total engine power due to a cold seizure.,2008
65276,Accident,2008-08-31,Fatal,Substantial,Glider,SCHLEICHER,Personal,1.0,0.0,0.0,0.0,Loss of control inflight for undetermined reason.,2008
65278,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,Fairchild,Positioning,0.0,0.0,0.0,1.0,Failure of the door to remain secure for undetermined reasons.,2008
65279,Accident,2008-08-31,Fatal,Substantial,Airplane,CESSNA,Personal,1.0,0.0,0.0,0.0,The pilot's impairment/incapacitation (cardiovascular) resulting in the pilot being unable to control the airplane.,2008
65280,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,FANTASY AIR SRO,Personal,0.0,0.0,0.0,1.0,The pilot's failure to maintain directional control during landing.,2008
65281,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,2.0,The pilot-certificated passenger's failure to maintain directional control during landing and the pilot's delayed remedial action and inadequate supervision.,2008
65282,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,Cessna,Personal,0.0,2.0,0.0,1.0,The pilot's inadequate preflight planning and his failure to maintain clearance from the trees.  Contributing factors were the trees and the high density altitude.,2008
65283,Accident,2008-08-31,Non-Fatal,Substantial,Balloon,Cameron,Personal,0.0,0.0,1.0,0.0,The pilot's improper use of the balloon burners.,2008
65284,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,"The en route loss of engine power due to a mechanic's failure to tighten a fuel line fitting, which became disconnected in flight.",2008
65285,Accident,2008-08-31,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,2.0,"The pilot's selection of an unsuitable landing site, resulting in a main landing gear collapse during the landing roll.",2008
65286,Accident,2008-09-01,Non-Fatal,Destroyed,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,Controlled flight into terrain for unknown reasons.,2008
65287,Accident,2008-09-01,Fatal,Destroyed,Airplane,CONVAIR,Flight Test,3.0,0.0,0.0,0.0,"The improper (reverse) rigging of the elevator trim cables by company maintenance personnel, and their subsequent failure to discover the misrigging during required post-maintenance checks. Contributing to the accident was the captains inadequate post-maintenance preflight check and the flight crews improper response to the trim problem.",2008
65288,Accident,2008-09-01,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,1.0,"The pilot's improper fuel management practices, which resulted in fuel starvation and a complete power loss. Contributing to the accident was the pilot's misdiagnosis of the situation, and his cessation of trouble-shooting to positively identify and correct the underlying problem.",2008
65289,Accident,2008-09-01,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,0.0,0.0,3.0,The pilot's failure to maintain control of the airplane while landing in gusty winds.,2008
65291,Accident,2008-09-01,Non-Fatal,Substantial,Airplane,BELLANCA,Instructional,0.0,0.0,0.0,1.0,The student pilot's inadequate recovery from a bounced landing.,2008
65292,Accident,2008-09-01,Non-Fatal,Substantial,Airplane,PIPER,Personal,0.0,0.0,0.0,4.0,The pilot failed to maintain directional control during landing.  Contributing to the accident were the crosswinds and the rough terrain near the runway.,2008
65294,Accident,2008-09-01,Non-Fatal,Substantial,Airplane,CESSNA,Personal,0.0,1.0,0.0,0.0,The pilot's failure to attain sufficient altitude to avoid the trees during initial climb. Contributing to the accident were the pilot's failure to ensure the security of the entrance door before takeoff and the unintentional opening of the door.,2008
